"date","yuan_rolling_vol","rupee_rolling_vol","yen_rolling_vol","franc_rolling_vol","euro_rolling_vol","pound_rolling_vol"
2000-01-07,2.26853861561696e-05,0.000657598762654528,0.00600393615254882,0.00650212299677311,0.00690682998367769,0.00420900587696267
2000-01-10,2.26853861561696e-05,0.000617257717824378,0.0059982636559322,0.00650005997819272,0.00691625906454499,0.00417748085590478
2000-01-11,2.11353633430127e-05,0.000617070565460171,0.00596653043290382,0.00658439820316188,0.00698894127858155,0.00412966894213039
2000-01-12,2.12026877256935e-05,0.000599523298686959,0.00596637197153639,0.00661472087567759,0.00702828833777072,0.00414518395157721
2000-01-13,2.13562936690727e-05,0.00064218898252931,0.00596630588869963,0.00663194841764307,0.0069899662487395,0.00414483113048845
2000-01-14,2.13562557338824e-05,0.00064218898252931,0.005979520305708,0.00720873316838144,0.00748775756495906,0.00443773976700246
2000-01-18,2.25067612451434e-05,0.000662593353737037,0.005978887151744,0.00612478813052127,0.00611002165044457,0.00374955151906512
2000-01-19,2.40900777723898e-05,0.000600895224602685,0.00581175671961169,0.00611845320924564,0.00609189422652859,0.00379539653871515
2000-01-20,2.25363639178499e-05,0.000600895224602685,0.0057441276593858,0.00612376553859018,0.00605046545592395,0.00393049791346646
2000-01-21,2.26513959133813e-05,0.000600895224602685,0.00576730930171738,0.0059479705362965,0.00580344121314926,0.00394124906475352
2000-01-24,2.62326670594503e-05,0.00060470241561118,0.00580669925865416,0.00607608686218446,0.00597797157911309,0.00393846700610887
2000-01-25,2.6942294372281e-05,0.000548924361020833,0.0056571356238589,0.00600685154074287,0.00596366362682318,0.00397399588337014
2000-01-26,2.81211095634098e-05,0.000590725072456173,0.00565542583218818,0.00597518363066058,0.00591253646337225,0.00383547480312087
2000-01-27,2.82787213436518e-05,0.000536110776469417,0.0059251729260041,0.00641825910885118,0.00630356873153739,0.00384386358550445
2000-01-28,2.84914578321271e-05,0.000540086387604103,0.00693765732163054,0.00635138653166176,0.00634102801479072,0.00423447008667127
2000-01-31,2.95322177116718e-05,0.000540086387604103,0.00693585033713485,0.00622475552440308,0.00621579463647231,0.00419973777877739
2000-02-01,2.99804452281969e-05,0.000557740551815979,0.00682867350549462,0.0062297402874402,0.00621930737290744,0.0041959180978006
2000-02-02,2.93616050499815e-05,0.000569466705619373,0.00671889719338035,0.00620581928100674,0.0062461527997502,0.00425624037266896
2000-02-03,3.51450319988002e-05,0.000569466705619373,0.00669184334408233,0.00689349495486887,0.00669440518499157,0.00424687202830161
2000-02-04,3.88098766119119e-05,0.000569466705619373,0.00676850113072473,0.00712731873754806,0.00684631677055939,0.0042487250783685
2000-02-07,3.87731359400562e-05,0.000572057933090491,0.00673215147451483,0.00712589007182482,0.0068678782724786,0.0042503041904769
2000-02-08,3.84517845561096e-05,0.000574533374461334,0.00653340873224743,0.00729434679907203,0.00706358574531042,0.00479608882612242
2000-02-09,3.83491730531155e-05,0.000578926747904437,0.00664446580789433,0.0072739218294974,0.00706226374948242,0.00479757101030963
2000-02-10,3.74107544560875e-05,0.000655347917029665,0.0066919678211876,0.00727999272282659,0.00710204406739411,0.00483944974341017
2000-02-11,3.70866335731035e-05,0.000716102381094328,0.00669103282295143,0.00727464074600517,0.00710028258522258,0.00505112173151325
2000-02-14,4.18123084781254e-05,0.000691281537217111,0.00672462943716921,0.0073054200909716,0.00711063801887413,0.00504958228882054
2000-02-15,4.11351707626671e-05,0.000676407293705166,0.00661395284579589,0.00725630482067302,0.00698800707986986,0.0048936258220444
2000-02-16,4.09861193467166e-05,0.000810451373474387,0.0062985765474335,0.00657520945160232,0.0063054838762328,0.00487047015799407
2000-02-17,4.20528750381248e-05,0.000871302469439412,0.00634312451521445,0.00655999591523813,0.00629726388787297,0.00483430464099014
2000-02-18,4.20947337800544e-05,0.000871302469439412,0.00599730551179537,0.00656185962574467,0.00629674850970529,0.00479853966193644
2000-02-22,4.19831638114273e-05,0.000882955388502605,0.00598643530755147,0.00747191265146105,0.00752556837409319,0.00521385552783708
2000-02-23,4.52799717284479e-05,0.00088978774834751,0.00598874430525694,0.00749456173992828,0.00752862209352801,0.00536309438724366
2000-02-24,4.51705919150805e-05,0.000878236821435145,0.00591134167631235,0.00746143913093741,0.00752005168386798,0.00522434585341795
2000-02-25,4.73017990241594e-05,0.000878236821435145,0.00585234905495668,0.00797919848929668,0.0080426778986026,0.00526434231169761
2000-02-28,4.70102336378858e-05,0.000856431015665465,0.00670565416569025,0.00807188062568241,0.00817099383346987,0.00527520217121889
2000-02-29,4.69977517389184e-05,0.000868283542069266,0.0067525648601965,0.00768479182725338,0.00785763221586976,0.00537032653587745
2000-03-01,4.62642111020611e-05,0.000849270522171413,0.0083157542893066,0.0077953054732342,0.00797600487652578,0.00544215181338553
2000-03-02,4.53472397036284e-05,0.000852957734075499,0.00831894528991134,0.00791444700467174,0.0080745514810668,0.00542214162924668
2000-03-03,4.52084197041452e-05,0.000852957734075499,0.00834172426598867,0.00787218023947425,0.00805407716585738,0.00530005015942266
2000-03-06,4.58987338711899e-05,0.00085775611565267,0.00828371308378199,0.00786410476916612,0.00804896942621643,0.00533662076737338
2000-03-07,4.40817238452762e-05,0.000853801170130076,0.00869072886951056,0.00779992945341464,0.00797768847265357,0.00537025221152029
2000-03-08,4.38433155446234e-05,0.000847220567938608,0.00874863597451729,0.00782526810648329,0.00796978935768377,0.00550867764400757
2000-03-09,4.29251499677557e-05,0.000813459091439154,0.00878595820330662,0.00812063219446488,0.0082983500919645,0.00546237546147891
2000-03-10,4.31414458071034e-05,0.000813459091439154,0.00862520101529273,0.00780809363660125,0.00803862875718493,0.00546066736483264
2000-03-13,4.38433099999021e-05,0.00080914432908581,0.00785066818688278,0.00760658966463303,0.00771754238646753,0.00523587257551395
